campaign_id,configuration_fingerprint,database,workload,round,attempt_count,successful_count,failure_count,error_rate,minimum_ms,maximum_ms,mean_ms,p50_ms,p95_ms,p99_ms
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,filtered_lookup,1,200,200,0,0.0,0.6745,1.1961,0.8360765000000001,0.82055,1.020305,1.1082009999999993
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,filtered_lookup,2,200,200,0,0.0,0.6511,3.3782,0.9549850000000001,0.8886499999999999,1.2986800000000003,2.1913399999999994
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,filtered_lookup,3,200,200,0,0.0,0.7262,3.1786,1.0030135,0.9451499999999999,1.405395,2.213653999999999
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,one_hop,1,200,200,0,0.0,0.6004,2.0433,0.858456,0.83145,1.099795,1.4853079999999974
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,one_hop,2,200,200,0,0.0,0.5732,1.7932,0.834233,0.7880499999999999,1.1665650000000005,1.500453999999999
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,one_hop,3,200,200,0,0.0,0.5854,2.1054,0.8545569999999999,0.8126500000000001,1.1511250000000002,1.7084199999999994
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,two_hop,1,200,200,0,0.0,0.7202,9.4649,1.2118155,0.9653499999999999,2.3966750000000023,4.976480999999972
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,two_hop,2,200,200,0,0.0,0.6615,7.9149,1.0229435,0.8487,1.6627950000000016,3.42919799999996
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,two_hop,3,200,200,0,0.0,0.5649,9.5077,1.049378,0.8564,2.03113,3.5063149999999537
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,three_hop,1,200,200,0,0.0,0.7819,766.1346,19.369625499999998,2.19855,69.35368000000008,224.4149909999953
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,three_hop,2,200,200,0,0.0,0.779,719.5948,19.266222499999998,2.2836,69.08569000000001,276.15120599999597
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,three_hop,3,200,200,0,0.0,0.7601,712.6106,18.4922955,2.07895,73.68539000000011,276.9890659999961
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,aggregation,1,200,200,0,0.0,1.2952,3.0246,1.5358924999999999,1.4859,1.9010700000000003,2.1367849999999926
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,aggregation,2,200,200,0,0.0,1.2761,2.7473,1.670084,1.6236000000000002,2.1119600000000003,2.3846849999999993
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,aggregation,3,200,200,0,0.0,1.2889,2.6856,1.6406165000000001,1.6087500000000001,2.108445,2.2636489999999996
